case_id,dim,condition_number,path_kind,observation_noise,drift_per_query,amplitude,period,protocol,method,family,seed,query_budget,total_target_displacement,final_mse,query_averaged_mse,tail_mse,queries_to_threshold,mean_gradient_cosine,updates,queries_per_update,learning_rate,smoothing,directions,maximum_gradient_norm,failed,first_order_mse,mse_ratio_to_first_order
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1030,10000,1.0,7.018365366288002e-05,0.005675260187586174,6.136284521273103e-05,200.0,0.16924682128850904,5000.0,2.0,0.020000000000000004,0.1,1.0,26.41081973440883,0.0,0.0025123316947977107,2.2589613462816014
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1001,10000,1.0,0.00011017339839342361,0.0053694807212843155,7.60027175274837e-05,250.0,0.15748939509479232,5000.0,2.0,0.020000000000000004,0.3,1.0,26.492865148104094,0.0,0.0025123316947977107,2.1372499230109256
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1002,10000,1.0,0.00012948804117537743,0.006084164249908399,7.123913367004644e-05,250.0,0.1627313124373499,5000.0,2.0,0.020000000000000004,0.3,1.0,20.24464764620825,0.0,0.0025123316947977107,2.421720134529564
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1003,10000,1.0,5.654026814000958e-05,0.007335224385525407,7.67234882771868e-05,300.0,0.159459697658735,5000.0,2.0,0.020000000000000004,0.3,1.0,23.6691183298368,0.0,0.0025123316947977107,2.9196878743019754
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1004,10000,1.0,0.00010990349269265068,0.005732570963126813,7.415088928189952e-05,300.0,0.1570724367647757,5000.0,2.0,0.020000000000000004,0.3,1.0,26.47678889378134,0.0,0.0025123316947977107,2.2817731332997377
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1005,10000,1.0,6.41047116313201e-05,0.007617703033747776,6.243465278633987e-05,300.0,0.1607828017968832,5000.0,2.0,0.020000000000000004,0.3,1.0,23.292783188402286,0.0,0.0025123316947977107,3.0321247188505267
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1006,10000,1.0,4.63026240244419e-05,0.006455692143302856,7.452245434077326e-05,300.0,0.16157141426223037,5000.0,2.0,0.020000000000000004,0.3,1.0,19.80851495438705,0.0,0.0025123316947977107,2.56960183906873
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1007,10000,1.0,5.577442741326969e-05,0.004092084227929539,0.0001015574973630206,200.0,0.15614946427736073,5000.0,2.0,0.020000000000000004,0.3,1.0,29.074151951167025,0.0,0.0025123316947977107,1.6287993485904049
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1008,10000,1.0,7.291254986384851e-05,0.0036299931862485493,7.724049634890599e-05,150.0,0.1610013916388075,5000.0,2.0,0.020000000000000004,0.3,1.0,23.738875342615675,0.0,0.0025123316947977107,1.444870195191655
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1009,10000,1.0,0.00010242469653069957,0.0070759006716686725,7.976387724903893e-05,200.0,0.15972938203744358,5000.0,2.0,0.020000000000000004,0.3,1.0,19.891330718347746,0.0,0.0025123316947977107,2.8164675414161082
