path_kind,dim,method,metric,queries,mean,std,ci_low,ci_high,runs
linear,10,CoordinateCentral,squared_error,8850.0,0.0006521360303832807,3.7292745078611535e-05,0.0006387909929455285,0.000665481067821033,30
linear,10,CoordinateCentral,squared_error,8900.0,0.0006080199320486507,4.094930524421399e-05,0.0005933664113603226,0.0006226734527369789,30
linear,10,CoordinateCentral,squared_error,8950.0,0.0006469028897655053,4.477287434824599e-05,0.0006308811224455178,0.0006629246570854927,30
linear,10,CoordinateCentral,squared_error,9000.0,0.0006019776367912721,4.0893512138767046e-05,0.0005873440814093163,0.0006166111921732279,30
linear,10,CoordinateCentral,squared_error,9050.0,0.0006410702417867104,4.5776951450707774e-05,0.0006246891700901077,0.0006574513134833132,30
linear,10,CoordinateCentral,squared_error,9100.0,0.0006019250196395348,4.213665453664104e-05,0.000586846611463688,0.0006170034278153816,30
linear,10,CoordinateCentral,squared_error,9150.0,0.0006452175126171526,4.9070312866951425e-05,0.0006276579266732567,0.0006627770985610486,30
linear,10,CoordinateCentral,squared_error,9200.0,0.0006031138208506394,4.473555046913833e-05,0.0005871054097092589,0.0006191222319920198,30
linear,10,CoordinateCentral,squared_error,9250.0,0.0006498684978043695,4.743264882816459e-05,0.0006328949424104371,0.000666842053198302,30
linear,10,CoordinateCentral,squared_error,9300.0,0.0006086519734449276,4.8629745384652125e-05,0.0005912500425498285,0.0006260539043400267,30
linear,10,CoordinateCentral,squared_error,9350.0,0.0006545744176432323,4.830586624588897e-05,0.0006372883854094678,0.0006718604498769968,30
linear,10,CoordinateCentral,squared_error,9400.0,0.0006067702815174275,4.729749655087695e-05,0.0005898450897447946,0.0006236954732900604,30
linear,10,CoordinateCentral,squared_error,9450.0,0.0006521210314557932,3.959272151524887e-05,0.0006379529580203375,0.0006662891048912489,30
linear,10,CoordinateCentral,squared_error,9500.0,0.0006139047442412135,4.543846216382164e-05,0.0005976447993803065,0.0006301646891021206,30
linear,10,CoordinateCentral,squared_error,9550.0,0.0006626644267871003,4.3689187451321346e-05,0.0006470304518428089,0.0006782984017313918,30
linear,10,CoordinateCentral,squared_error,9600.0,0.0006152678796587199,4.525008911399339e-05,0.0005990753432279758,0.0006314604160894639,30
linear,10,CoordinateCentral,squared_error,9650.0,0.0006653370397452649,4.515162821008684e-05,0.0006491797370964808,0.000681494342394049,30
linear,10,CoordinateCentral,squared_error,9700.0,0.0006275899604459346,4.589639830717934e-05,0.0006111661452406931,0.0006440137756511761,30
linear,10,CoordinateCentral,squared_error,9750.0,0.0006650248172222657,4.8422834661187765e-05,0.0006476969283786457,0.0006823527060658858,30
linear,10,CoordinateCentral,squared_error,9800.0,0.0006169419240965439,5.1568705603258986e-05,0.000598488299793982,0.0006353955483991059,30
linear,10,CoordinateCentral,squared_error,9850.0,0.0006558504147479305,5.954575953053019e-05,0.000634542238358146,0.0006771585911377149,30
linear,10,CoordinateCentral,squared_error,9900.0,0.0006183187412545038,5.935570312769107e-05,0.0005970785756750211,0.0006395589068339865,30
linear,10,CoordinateCentral,squared_error,9950.0,0.0006674355731170459,6.14547196106378e-05,0.0006454442841357236,0.0006894268620983681,30
linear,10,CoordinateCentral,squared_error,10000.0,0.0006194797696355716,5.179389408582165e-05,0.0006009455626694375,0.0006380139766017056,30
linear,10,FirstOrderReference,squared_error,0.0,1.0,0.0,1.0,1.0,30
linear,10,FirstOrderReference,squared_error,50.0,0.0011119075336280784,2.205473771126446e-19,0.0011119075336280784,0.0011119075336280784,30
linear,10,FirstOrderReference,squared_error,100.0,9.182704693333095e-06,1.723026383692536e-21,9.182704693333095e-06,9.182704693333095e-06,30
linear,10,FirstOrderReference,squared_error,150.0,8.047429326861939e-07,0.0,8.047429326861939e-07,8.047429326861939e-07,30
linear,10,FirstOrderReference,squared_error,200.0,1.3898129591394779e-06,4.30756595923134e-22,1.3898129591394776e-06,1.389812959139478e-06,30
linear,10,FirstOrderReference,squared_error,250.0,1.491006746261541e-06,4.30756595923134e-22,1.4910067462615408e-06,1.4910067462615412e-06,30
linear,10,FirstOrderReference,squared_error,300.0,1.5044875275702452e-06,4.30756595923134e-22,1.504487527570245e-06,1.5044875275702454e-06,30
