task,method,seed,tail_loss,tail_tracking_error,tail_feasibility_residual,tail_frame_error,tail_subspace_error
grassmann_subspace_tracking,EuclideanSGD,1011,0.007488059421503713,0.07908807996165738,0.008238455976167267,0.09145964710437358,0.07908807996165738
grassmann_basis_rotation,RiemannianSGD,1011,2.9301289262269076e-31,6.449859030166551e-10,7.648179213181252e-16,0.7046840696120691,6.449859030166551e-10
grassmann_basis_rotation,ProjectedEuclideanSGD,1011,8.106288412649062e-32,1.2138879850420316e-09,3.691424620154119e-16,0.704684069612069,1.2138879850420316e-09
grassmann_basis_rotation,EuclideanSGD,1011,1.9702037636166065e-32,5.524019570926648e-10,3.1786294518795643e-16,0.7046840696120691,5.524019570926648e-10
simplex_tracking,ProjectedSGD,1012,0.00011584476493978655,0.010230984376750837,8.1601392309949e-17,,
simplex_tracking,ExponentiatedGradient,1012,0.00209643016185723,0.04258160516098655,5.88418203051333e-17,,
simplex_tracking,EuclideanSGD,1012,0.00012162527901809133,0.01054000267655613,0.005881395193803037,,
stiefel_frame_tracking,RiemannianSGD,1012,0.0060055997725415615,0.07062725170937478,5.802060336720945e-16,0.07062725170937478,0.06817576926663882
stiefel_frame_tracking,ProjectedEuclideanSGD,1012,0.005993260912935014,0.0705616981020072,5.435667987124457e-16,0.0705616981020072,0.06811035958513702
stiefel_frame_tracking,EuclideanSGD,1012,0.005964955199017034,0.0704071040899479,0.007884055256488897,0.0704071040899479,0.06795552957472042
grassmann_subspace_tracking,RiemannianSGD,1012,0.006984743152512129,0.07604367164495854,5.860038567159693e-16,0.10806716336031269,0.07604367164495854
grassmann_subspace_tracking,ProjectedEuclideanSGD,1012,0.006949160983580798,0.07586787207174017,5.735306626542026e-16,0.10790937177023573,0.07586787207174017
grassmann_subspace_tracking,EuclideanSGD,1012,0.0069565661433478735,0.07602297026614727,0.008119686832771408,0.10805007789583046,0.07602297026614727
grassmann_basis_rotation,RiemannianSGD,1012,1.8497538234951926e-30,4.778961511234264e-10,8.319796084412314e-16,0.7046840696120694,4.778961511234264e-10
