case_id,sweep,x_value,dim,condition_number,learning_rate,gradient_noise,drift_per_step,seed,tail_empirical_mse,tail_exact_mse,empirical_exact_ratio,final_empirical_mse,final_exact_mse
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1007,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1008,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1009,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1010,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1011,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1012,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1013,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1014,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1015,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1016,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1017,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1018,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1019,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1020,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1021,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1022,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1023,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1024,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1025,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1026,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1027,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1028,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1029,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1030,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1001,8.243370289415839e-05,8.802719668353056e-05,0.9364572086797047,9.747395935453466e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1002,8.153491412905306e-05,8.802719668353056e-05,0.9262468555278647,0.00010736964385414283,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1003,8.852487059383042e-05,8.802719668353056e-05,1.0056536380692556,9.932093937733894e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1004,8.267131018094776e-05,8.802719668353056e-05,0.939156457272655,0.00014958911711640115,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1005,8.832350174814087e-05,8.802719668353056e-05,1.003366062714408,9.787126784125049e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1006,9.264216761416029e-05,8.802719668353056e-05,1.0524266488596832,6.504735366794064e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1007,0.00010230507606563242,8.802719668353056e-05,1.1621985013726237,5.547297674692002e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1008,7.763877568982981e-05,8.802719668353056e-05,0.8819862339698434,8.055893684329554e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1009,0.00010109283106831756,8.802719668353056e-05,1.1484272460903155,0.00015051389264465783,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1010,9.342881138947598e-05,8.802719668353056e-05,1.0613630208555311,9.31704400620545e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1011,9.020023508513041e-05,8.802719668353056e-05,1.0246859889155873,0.00010535039781939849,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1012,9.298510011031905e-05,8.802719668353056e-05,1.0563224050473037,6.747363049153312e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1013,9.240374229011452e-05,8.802719668353056e-05,1.0497181072608528,8.006077817243605e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1014,8.213340030206199e-05,8.802719668353056e-05,0.9330457335514437,5.910019299035707e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1015,9.016265214594165e-05,8.802719668353056e-05,1.024259042010486,0.00011974956283573204,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1016,8.607977830533633e-05,8.802719668353056e-05,0.9778770828611587,8.209529501171127e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1017,8.26543934266983e-05,8.802719668353056e-05,0.9389642808216624,0.00011029175941809078,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1018,7.568775667784837e-05,8.802719668353056e-05,0.859822413179371,6.618451972507998e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1019,9.2458549004252e-05,8.802719668353056e-05,1.050340718410615,6.399413306626819e-05,8.802719668353058e-05
