case_id,dim,condition_number,path_kind,observation_noise,drift_per_query,amplitude,period,protocol,method,family,seed,final_mse,query_averaged_mse,tail_mse,queries_to_threshold,mean_gradient_cosine,updates,queries_per_update,learning_rate,smoothing,directions,maximum_gradient_norm,failed
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1020,1.4409855998692105e-05,0.004975669877326444,1.0032778794710895e-05,250.0,0.14360185634184244,5000.0,2.0,0.020000000000000004,0.1,1.0,27.060003085704192,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1021,7.310290916743504e-06,0.005120159244005116,9.301729798658744e-06,250.0,0.14509046122685107,5000.0,2.0,0.020000000000000004,0.1,1.0,25.961408988977357,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1022,8.538365012567404e-06,0.005437742769609345,1.2561821269625967e-05,250.0,0.138244513048566,5000.0,2.0,0.020000000000000004,0.1,1.0,28.355204184882037,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1023,1.376700594877876e-05,0.0038133920668407596,1.1490572714221422e-05,200.0,0.1372221971427395,5000.0,2.0,0.020000000000000004,0.1,1.0,29.212825757847472,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1024,9.783311338698572e-06,0.005131828576904775,1.1390105518581778e-05,250.0,0.14197651790569696,5000.0,2.0,0.020000000000000004,0.1,1.0,35.932426969029535,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1025,1.2715460117064647e-05,0.006309820058102076,1.0579874691238718e-05,300.0,0.13964212414335897,5000.0,2.0,0.020000000000000004,0.1,1.0,19.3444790290003,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1026,7.292929419637173e-06,0.0065550062318341686,1.0170700065602953e-05,300.0,0.1420884913327146,5000.0,2.0,0.020000000000000004,0.1,1.0,24.031295309249874,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1027,9.612555445245102e-06,0.0070112534635193595,1.1735740370514288e-05,300.0,0.1420838829443175,5000.0,2.0,0.020000000000000004,0.1,1.0,23.36270776492378,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1028,1.7896375684148673e-05,0.004391534358716699,9.713596787230545e-06,200.0,0.14098616108041387,5000.0,2.0,0.020000000000000004,0.1,1.0,23.10026685223651,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1029,7.19830047980604e-06,0.006953390848691261,9.561476317851229e-06,300.0,0.1412398586423443,5000.0,2.0,0.020000000000000004,0.1,1.0,21.369493774594847,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1030,9.52234125658994e-06,0.0050506220475240995,1.0366217603687695e-05,250.0,0.14096691755015447,5000.0,2.0,0.020000000000000004,0.1,1.0,25.346926278076417,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1001,2.0259689720848323e-05,0.0030058074611726874,2.1477028055281766e-05,150.0,0.14072467698115057,5000.0,2.0,0.020000000000000004,0.3,1.0,28.43194880253789,0.0
