method,fine_tune_episodes,seed,scenario,dimension,noise,dynamic_regret,mean_regret,tail_regret,mean_tracking_error,post_change_error,max_constraint_violation,mean_step_size,mean_reallocation_l1,exploration_fraction,reversal_fraction,value_queries
Curriculum pretrained,10,21160741,mixed,12,heavy_tailed,25.230377119028795,0.08410125706342932,0.09094896887096374,0.2784016137374538,0.30647653604087044,5.551115123125783e-16,0.05506666666666667,0.10764315131284947,0.38333333333333336,0.31,301.0
Curriculum pretrained,10,21160742,mixed,12,heavy_tailed,21.324754777900477,0.07108251592633492,0.12683455804160546,0.2514207518915485,0.2696616704321146,4.440892098500626e-16,0.05693333333333333,0.11132692040560824,0.44333333333333336,0.32,301.0
Curriculum pretrained,10,21160743,mixed,12,heavy_tailed,24.14670400788971,0.08048901335963236,0.14186729328292222,0.2682070831589063,0.261501419488794,4.440892098500626e-16,0.05599999999999999,0.10784993210585839,0.5233333333333333,0.24,301.0
Curriculum pretrained,10,21160744,mixed,12,heavy_tailed,22.420414693267777,0.07473471564422592,0.09923750716364914,0.264075343507354,0.2808193372856998,4.440892098500626e-16,0.059,0.1150893442122105,0.42,0.32,301.0
Curriculum pretrained,10,21160745,mixed,12,heavy_tailed,32.670363532027736,0.10890121177342578,0.1389021823286394,0.3231843654493779,0.35046697810716065,4.440892098500626e-16,0.06293333333333333,0.12303145103891198,0.45666666666666667,0.25666666666666665,301.0
Curriculum pretrained,10,21160746,mixed,12,heavy_tailed,36.71632339717164,0.12238774465723881,0.21987320540218006,0.3337632152696765,0.34879508108914153,6.661338147750939e-16,0.060766666666666656,0.11714961317576716,0.43666666666666665,0.2833333333333333,301.0
Curriculum pretrained,10,21160747,mixed,12,heavy_tailed,31.321137216488587,0.10440379072162863,0.16268525848551685,0.3140652023686448,0.31826491815030017,4.440892098500626e-16,0.056333333333333326,0.1081334356562085,0.5066666666666667,0.21333333333333335,301.0
Curriculum pretrained,10,21160748,mixed,12,heavy_tailed,32.85063289545483,0.10950210965151609,0.20208302468762226,0.31624231723258256,0.3037891289096383,4.440892098500626e-16,0.052899999999999996,0.10208210346279094,0.5433333333333333,0.22666666666666666,301.0
Curriculum pretrained,10,21160749,mixed,12,heavy_tailed,33.29941985580306,0.1109980661860102,0.10381393573652094,0.32514019036400216,0.28424391252581305,4.440892098500626e-16,0.058333333333333334,0.11499613834561603,0.48,0.25333333333333335,301.0
Curriculum pretrained,10,21160750,mixed,12,heavy_tailed,22.221129539936832,0.07407043179978944,0.10320517592588534,0.26365607934751994,0.29177079633351777,5.551115123125783e-16,0.05586666666666666,0.10817238745834393,0.38333333333333336,0.2866666666666667,301.0
Curriculum pretrained,10,21160751,mixed,12,heavy_tailed,26.687246314374658,0.08895748771458219,0.13118602220473993,0.29066151248437405,0.30786545198383,4.440892098500626e-16,0.05276666666666667,0.10198884263522966,0.5166666666666667,0.20666666666666667,301.0
Curriculum pretrained,10,21160752,mixed,12,heavy_tailed,31.352240298028995,0.10450746766009665,0.19081783251845394,0.31023582798675214,0.2835155004610533,4.440892098500626e-16,0.06006666666666668,0.11561648061081137,0.51,0.27,301.0
Curriculum pretrained,10,21160753,mixed,12,heavy_tailed,36.84281854932799,0.12280939516442663,0.2161487576950355,0.32884166942664855,0.342574954665311,4.440892098500626e-16,0.05843333333333334,0.11287491713000658,0.45,0.29333333333333333,301.0
Curriculum pretrained,10,21160754,mixed,12,heavy_tailed,30.810008819985754,0.10270002939995251,0.11906292606184526,0.31442437556134595,0.2957932533491018,5.551115123125783e-16,0.05883333333333333,0.11373985829139827,0.47,0.24666666666666667,301.0
Curriculum pretrained,10,21160755,mixed,12,heavy_tailed,33.81693291141832,0.11272310970472774,0.16529143877631264,0.32608412757918276,0.3292530163543943,5.551115123125783e-16,0.05890000000000001,0.11498151648529732,0.42,0.2833333333333333,301.0
Curriculum pretrained,10,21160756,mixed,12,heavy_tailed,29.817379880327184,0.09939126626775728,0.13526930221184405,0.3051708346463648,0.3005891165281298,6.661338147750939e-16,0.06026666666666667,0.11852450776380681,0.44666666666666666,0.2633333333333333,301.0
Curriculum pretrained,50,21160727,mixed,12,heavy_tailed,18.75891017712997,0.06252970059043324,0.09152899059586377,0.2400339408488769,0.24137593063995366,5.551115123125783e-16,0.06126666666666668,0.11840034204008679,0.46,0.33666666666666667,301.0
Curriculum pretrained,50,21160728,mixed,12,heavy_tailed,24.769146501613395,0.08256382167204465,0.1409895996923723,0.2764318418418997,0.28212968560438895,4.440892098500626e-16,0.07043333333333335,0.13638032082157373,0.43333333333333335,0.36333333333333334,301.0
Curriculum pretrained,50,21160729,mixed,12,heavy_tailed,20.194569648397604,0.06731523216132534,0.17806248886665355,0.23750852281624815,0.22363844965049778,4.440892098500626e-16,0.0579,0.11342021368988701,0.49333333333333335,0.32,301.0
Curriculum pretrained,50,21160730,mixed,12,heavy_tailed,23.72016253008484,0.07906720843361613,0.09341602316334979,0.27388954806434695,0.3109048368912206,4.440892098500626e-16,0.0684,0.13343788947937985,0.4266666666666667,0.35333333333333333,301.0
Curriculum pretrained,50,21160731,mixed,12,heavy_tailed,20.897183081943467,0.06965727693981155,0.1047624094098752,0.2533932489909474,0.26533772887716667,6.661338147750939e-16,0.06073333333333334,0.11736103806864644,0.44333333333333336,0.37,301.0
Curriculum pretrained,50,21160732,mixed,12,heavy_tailed,22.16404074555122,0.07388013581850407,0.13627620190627307,0.2615817867600243,0.27355135218734017,4.440892098500626e-16,0.06866666666666667,0.1328579411699278,0.45,0.3566666666666667,301.0
Curriculum pretrained,50,21160733,mixed,12,heavy_tailed,18.624461072555977,0.062081536908519926,0.10946571219484166,0.23644182418143936,0.2099428547870584,4.440892098500626e-16,0.06026666666666666,0.11797289357207869,0.42333333333333334,0.3566666666666667,301.0
Curriculum pretrained,50,21160734,mixed,12,heavy_tailed,23.938433698201585,0.07979477899400528,0.10742887448645601,0.27222051035685846,0.3075359323325201,4.440892098500626e-16,0.06656666666666666,0.12870717734100667,0.43,0.36,301.0
Curriculum pretrained,50,21160735,mixed,12,heavy_tailed,26.655012428223966,0.08885004142741322,0.25379493704606737,0.27022500107965586,0.2543821658856629,4.440892098500626e-16,0.06796666666666668,0.13104984486965626,0.44666666666666666,0.37666666666666665,301.0
